15 4 12 13 15 5 15 2 0 10 2 8 3 10 7 3 11 12 4 9 1 9 6 4 0 6 13 15 2 9 9 1
13 6 7 3 0 11 15 12 6 4 4 10 13 15 13 15 8 3 2 10 15 3 5 11 12 3 9 3 14 15 10 4
6 13 1 14 8 2 10 11 7 3 5 3 12 6 4 3 8 0 10 5 10 1 9 8 0 15 5 3 5 13 12 7
1 8 5 13 1 11 3 1 15 5 12 2 10 6 4 3 9 7 3 1 5 12 11 12 1 8 6 12 15 5 8 11



15	15	 0	 5
 2	 2	 7	12
13	 9	13	15
 8	 9	 0	 8
 9	14	15	 2
15	 6	11	 5
15	10	14	 3
 6	 2	14	 7
11	 8	 2	 1
 5	 1	 8	 9
 5	 0	 2	 0
 3	 2	 3	 5
 6	 4	13	13
 5	 0	 6	 3
 8	11	13	 1
 4	10	10	 5
 9	 6	 4	10
 9	10	 1	 0
15	11	 3	12
14	 0	 6	 0
15	 9	 8	13
14	 5	 1	14
14	14	14	 8
 0	 2	 9	 3
 5	13	 2	 3
10	 2	 8	 0
15	 2	11	 3
 9	 5	 9	 9
 7	 1	 2	 0
 0	 6	 8	 4
 8	11	 6	13
 3	10	13	13
